"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2020","46.78","49.60","51.30","45.90","55.26K","-6.03%"
"03/30/2020","49.78","55.45","56.65","49.55","46.77K","-6.83%"
"03/27/2020","53.42","46.35","53.65","45.65","55.77K","16.46%"
"03/26/2020","45.88","51.50","56.00","45.70","82.09K","-10.53%"
"03/25/2020","51.28","47.00","54.15","44.20","75.47K","6.27%"
"03/24/2020","48.25","48.55","49.45","40.15","100.91K","-2.43%"
"03/23/2020","49.45","63.05","72.50","48.75","127.92K","-19.63%"
"03/20/2020","61.53","68.00","68.95","53.05","135.09K","-7.20%"
"03/19/2020","66.30","71.45","79.95","56.70","175.53K","-4.96%"
"03/18/2020","69.76","70.55","82.00","70.45","0.90K","1.36%"
"03/17/2020","68.82","72.50","79.05","64.90","52.48K","-5.23%"
"03/16/2020","72.63","54.00","76.25","53.46","62.07K","35.94%"
"03/13/2020","53.42","60.40","65.00","50.90","101.94K","-8.36%"
"03/12/2020","58.30","48.10","60.45","45.28","136.72K","25.78%"
"03/11/2020","46.35","42.05","48.80","41.95","123.64K","10.82%"
"03/10/2020","41.83","45.80","47.65","37.25","135.03K","-5.75%"
"03/09/2020","44.38","38.90","53.15","35.78","173.49K","24.04%"
"03/06/2020","35.78","31.85","40.15","31.20","234.38K","12.24%"
"03/05/2020","31.88","27.40","33.25","27.30","194.82K","16.23%"
"03/04/2020","27.42","29.30","29.70","26.60","140.20K","-6.00%"
"03/03/2020","29.17","26.05","29.95","24.60","232.48K","11.04%"
"03/02/2020","26.27","29.05","30.20","24.80","230.80K","-0.19%"
"02/28/2020","26.33","26.65","30.05","25.69","376.55K","0.19%"
"02/27/2020","26.27","22.50","26.54","22.05","371.01K","17.69%"
"02/26/2020","22.33","22.00","23.25","20.88","280.79K","0.45%"
"02/25/2020","22.23","20.30","23.15","18.85","391.73K","10.71%"
"02/24/2020","20.08","17.90","20.70","16.93","350.91K","18.61%"
"02/21/2020","16.92","16.20","17.55","16.08","198.27K","5.29%"
"02/20/2020","16.08","15.35","16.60","15.25","161.66K","10.79%"
"02/19/2020","14.51","15.00","15.00","14.45","1.95K","-2.45%"
"02/18/2020","14.88","14.30","15.45","14.18","93.86K","-2.97%"
"02/17/2020","15.33","15.33","15.38","15.03","","0.33%"
"02/16/2020","15.28","15.28","15.28","15.28","","5.93%"
"02/14/2020","14.43","15.00","15.07","14.40","59.79K","-2.70%"
"02/13/2020","14.82","14.45","15.85","14.45","77.75K","2.42%"
"02/12/2020","14.48","15.55","15.65","14.40","90.17K","-7.36%"
"02/11/2020","15.63","15.65","15.80","15.15","75.87K","0.00%"
"02/10/2020","15.63","16.15","16.75","15.60","74.24K","-2.50%"
"02/07/2020","16.02","15.55","16.40","15.45","80.94K","2.89%"
